,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC_x,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,PB,PT_x,CaGC,GC_y,GC_y,Defesas,PT_y,GPC,Time
32,2023-09-15,21:30,Série A,Rodada da semana 23,sex,Em casa,V,1,0,Goiás,1.0,0.4,67,,Gustavo Gómez,4-2-3-1,Savio Pereira,Relatório da Partida,,18,6,185.0,1.0,0,0,3,0,0,3,0,0,Palmeiras
33,2023-09-21,21:30,Série A,Rodada da semana 24,qui,Visitante,D,0,1,Grêmio,1.0,0.4,65,,Gustavo Gómez,4-2-3-1,Bruno Arleu,Relatório da Partida,,18,4,167.0,2.0,0,0,2,1,1,1,0,0,Palmeiras
35,2023-10-01,18:30,Série A,Rodada da semana 25,dom,Visitante,D,1,2,Bragantino,1.5,2.9,34,,Luan Garcia,4-2-3-1,Wagner do Nascimento Magalhães,Relatório da Partida,,10,3,164.0,0.0,0,0,8,2,2,6,1,1,Palmeiras
37,2023-10-08,16:00,Série A,Rodada da semana 26,dom,Em casa,D,1,2,Santos,2.1,1.4,69,,Gustavo Gómez,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,26,6,170.0,0.0,0,0,10,2,2,8,0,0,Palmeiras
38,2023-10-19,19:00,Série A,Rodada da semana 27,qui,Em casa,D,0,2,Atlético Mineiro,0.7,1.1,56,27.718,Gustavo Gómez,4-2-3-1,Bruno Arleu,Relatório da Partida,,12,4,212.0,1.0,0,0,3,2,2,1,0,0,Palmeiras
39,2023-10-22,18:30,Série A,Rodada da semana 28,dom,Visitante,V,2,0,Coritiba,1.1,0.6,54,,Gustavo Gómez,3-4-1-2,Rafael Rodrigo Klein,Relatório da Partida,,19,6,179.0,1.0,0,0,2,0,0,2,0,0,Palmeiras
40,2023-10-25,20:00,Série A,Rodada da semana 29,qua,Em casa,V,5,0,São Paulo,2.4,0.1,46,,Gustavo Gómez,4-3-1-2,Raphael Claus,Relatório da Partida,,11,7,226.0,0.0,1,1,0,0,0,0,0,0,Palmeiras
41,2023-10-28,19:00,Série A,Rodada da semana 30,sáb,Em casa,V,1,0,Bahia,1.7,0.1,63,33.747,Gustavo Gómez,4-3-1-2,Rodrigo José Pereira de Lima,Relatório da Partida,,26,9,185.0,2.0,0,0,1,0,0,1,0,0,Palmeiras
42,2023-11-01,21:30,Série A,Rodada da semana 31,qua,Visitante,V,4,3,Botafogo (RJ),1.7,3.5,60,34.913,Gustavo Gómez,3-4-1-2,Braulio da Silva Machado,Relatório da Partida,,15,6,168.0,1.0,0,0,8,3,3,4,1,0,Palmeiras
43,2023-11-04,21:30,Série A,Rodada da semana 32,sáb,Em casa,V,1,0,Ath Paranaense,1.5,0.6,47,,Marcos Rocha,3-4-1-2,Wilton Pereira Sampaio,Relatório da Partida,,18,6,161.0,0.0,0,0,2,0,0,2,0,0,Palmeiras
