,Data,Horário,Camp.,Rodada,Dia,Local,Resultado,GP,GC_x,Oponente,xG,xGA,Posse,Público,Capitão,Formação,Árbitro,Relatório da Partida,Notas,TC,CaG,Dist,FK,PB,PT_x,CaGC,GC_y,GC_y,Defesas,PT_y,GPC,Time
19,2023-06-21,21:30,Série A,Rodada da semana 11,qua,Visitante,E,1,1,Fluminense,1.4,0.4,51,7.788,Hulk,4-3-3,Ramon Abatti Abel,Relatório da Partida,,14,6,191.0,1.0,0,0,4,1.0,1,3,0,0,Atletico Mineiro
20,2023-06-24,18:30,Série A,Rodada da semana 12,sáb,Visitante,D,1,2,Fortaleza,1.0,0.8,58,27.109,Hulk,4-3-3,Leandro Pedro Vuaden,Relatório da Partida,,18,4,249.0,1.0,0,0,3,2.0,2,1,0,0,Atletico Mineiro
22,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,E,2,2,América (MG),1.3,2.6,47,34.507,Hulk,4-3-3,Wilton Sampaio,Relatório da Partida,,12,5,197.0,2.0,0,0,5,2.0,2,3,0,0,Atletico Mineiro
23,2023-07-08,18:30,Série A,Rodada da semana 14,sáb,Em casa,D,0,1,Corinthians,1.4,0.8,59,,Mariano,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,26,6,199.0,0.0,0,0,2,1.0,1,1,0,0,Atletico Mineiro
24,2023-07-17,20:00,Série A,Rodada da semana 15,seg,Visitante,E,0,0,Goiás,0.2,1.5,61,,Guilherme Arana,4-2-3-1,Raphael Claus,Relatório da Partida,,6,1,217.0,2.0,0,0,3,0.0,0,3,0,0,Atletico Mineiro
25,2023-07-22,21:00,Série A,Rodada da semana 16,sáb,Visitante,D,0,1,Grêmio,0.9,0.7,61,37.085,Mariano,4-4-1-1,Luiz Flávio de Oliveira,Relatório da Partida,,17,3,183.0,0.0,0,0,2,1.0,1,1,0,0,Atletico Mineiro
26,2023-07-29,21:00,Série A,Rodada da semana 17,sáb,Em casa,D,1,2,Flamengo,0.9,1.8,40,,Igor Rabello,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,20,5,244.0,2.0,0,0,5,2.0,2,3,0,0,Atletico Mineiro
28,2023-08-06,16:00,Série A,Rodada da semana 18,dom,Visitante,V,2,0,São Paulo,1.9,0.9,32,53.46,Rodrigo Battaglia,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,7,1,262.0,2.0,1,1,3,0.0,0,3,0,0,Atletico Mineiro
30,2023-08-13,11:00,Série A,Rodada da semana 19,dom,Em casa,V,1,0,Bahia,1.1,0.6,40,,Rodrigo Battaglia,4-2-3-1,Savio Pereira,Relatório da Partida,,11,4,223.0,1.0,0,0,5,0.0,0,5,0,0,Atletico Mineiro
31,2023-08-20,11:00,Série A,Rodada da semana 20,dom,Visitante,D,0,1,Vasco da Gama,0.7,1.9,58,53.54,Rodrigo Battaglia,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,10,5,228.0,3.0,0,0,3,1.0,1,2,0,0,Atletico Mineiro
32,2023-08-27,16:00,Série A,Rodada da semana 21,dom,Em casa,V,2,0,Santos,1.6,0.7,56,,Rodrigo Battaglia,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,15,6,175.0,0.0,0,0,0,0.0,0,0,0,0,Atletico Mineiro
33,2023-09-02,16:00,Série A,Rodada da semana 22,sáb,Visitante,E,1,1,Ath Paranaense,0.4,2.0,48,,Mariano,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,9,7,203.0,1.0,0,0,6,1.0,1,5,0,0,Atletico Mineiro
34,2023-09-16,21:00,Série A,Rodada da semana 23,sáb,Em casa,V,1,0,Botafogo (RJ),1.3,0.1,42,,Rodrigo Battaglia,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,13,6,195.0,3.0,0,0,0,0.0,0,0,0,0,Atletico Mineiro
35,2023-09-23,21:00,Série A,Rodada da semana 24,sáb,Em casa,V,1,0,Cuiabá,0.6,0.4,64,,Rodrigo Battaglia,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,7,3,215.0,0.0,0,0,3,0.0,0,3,0,0,Atletico Mineiro
36,2023-09-30,21:00,Série A,Rodada da semana 25,sáb,Visitante,V,2,0,Internacional,1.4,0.8,37,,Rodrigo Battaglia,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,8,5,119.0,0.0,0,0,4,0.0,0,4,0,0,Atletico Mineiro
37,2023-10-08,18:30,Série A,Rodada da semana 26,dom,Em casa,D,1,2,Coritiba,0.6,0.8,62,,Mariano,4-2-3-1,Marcelo de Lima Henrique,Relatório da Partida,,13,3,165.0,0.0,0,0,4,2.0,2,2,0,0,Atletico Mineiro
38,2023-10-19,19:00,Série A,Rodada da semana 27,qui,Visitante,V,2,0,Palmeiras,1.1,0.7,44,27.718,Guilherme Arana,4-4-2,Bruno Arleu,Relatório da Partida,,13,3,248.0,2.0,0,0,4,0.0,0,4,0,0,Atletico Mineiro
39,2023-10-22,16:00,Série A,Rodada da semana 28,dom,Em casa,D,0,1,Cruzeiro,0.6,0.9,53,,Guilherme Arana,4-4-2,Ramon Abatti,Relatório da Partida,,9,1,258.0,1.0,0,0,4,1.0,1,4,0,0,Atletico Mineiro
40,2023-10-25,19:00,Série A,Rodada da semana 29,qua,Visitante,V,2,1,Bragantino,1.4,1.9,42,5.494,Guilherme Arana,4-4-2,Marcelo de Lima Henrique,Relatório da Partida,,8,3,178.0,0.0,1,1,3,1.0,1,2,0,0,Atletico Mineiro
41,2023-10-28,22:00,Série A,Rodada da semana 30,sáb,Em casa,V,2,0,Fluminense,1.2,0.8,47,,Guilherme Arana,4-4-2,Raphael Claus,Relatório da Partida,,18,3,216.0,1.0,0,0,3,0.0,0,3,0,0,Atletico Mineiro
42,2023-11-01,21:30,Série A,Rodada da semana 31,qua,Em casa,V,3,1,Fortaleza,2.3,0.4,56,28.898,Guilherme Arana,4-4-2,Matheus Delgado Candançan,Relatório da Partida,,10,3,222.0,2.0,1,1,2,1.0,1,1,0,0,Atletico Mineiro
43,2023-11-04,19:30,Série A,Rodada da semana 32,sáb,Visitante,E,1,1,América (MG),1.0,1.4,60,,Guilherme Arana,4-4-2,Rodrigo José Pereira de Lima,Relatório da Partida,,15,5,227.0,1.0,0,0,4,1.0,1,3,0,0,Atletico Mineiro
44,2023-11-09,19:00,Série A,Rodada da semana 33,qui,Visitante,E,1,1,Corinthians,1.1,1.5,60,30.348,Guilherme Arana,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,14,3,186.0,0.0,0,0,9,1.0,1,8,0,0,Atletico Mineiro
45,2023-11-12,18:30,Série A,Rodada da semana 34,dom,Em casa,V,2,1,Goiás,1.2,1.0,48,,Guilherme Arana,4-4-2,Marcelo de Lima Henrique,Relatório da Partida,,7,3,211.0,1.0,1,1,5,1.0,1,4,0,0,Atletico Mineiro
46,2023-11-26,16:00,Série A,Rodada da semana 35,dom,Em casa,V,3,0,Grêmio,2.1,1.3,45,,Guilherme Arana,4-4-2,Braulio Machado,Relatório da Partida,,17,6,146.0,1.0,0,0,5,0.0,0,5,0,0,Atletico Mineiro
47,2023-11-29,19:30,Série A,Rodada da semana 36,qua,Visitante,V,3,0,Flamengo,1.2,1.0,41,65.305,Guilherme Arana,4-4-2,Ramon Abatti,Relatório da Partida,,11,6,191.0,1.0,0,0,4,0.0,0,4,0,0,Atletico Mineiro
48,2023-12-02,21:00,Série A,Rodada da semana 37,sáb,Em casa,V,2,1,São Paulo,0.8,1.9,48,53.856,Réver,4-2-3-1,Savio Pereira,Relatório da Partida,,7,2,128.0,0.0,0,0,5,1.0,1,4,1,1,Atletico Mineiro
49,2023-12-06,21:30,Série A,Rodada da semana 38,qua,Visitante,D,1,4,Bahia,1.1,1.4,62,28.019,Guilherme Arana,4-4-2,Ramon Abatti,Relatório da Partida,,7,5,221.0,2.0,0,0,6,4.0,4,2,0,0,Atletico Mineiro
1,2023-04-16,16:00,Série A,Rodada da semana 1,dom,Em casa,V,3,0,Coritiba,1.4,0.4,58,42.848,Everton Ribeiro,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,14,6,227.0,0.0,1,1,3,0.0,0,3,0,0,Flamengo
3,2023-04-23,11:00,Série A,Rodada da semana 2,dom,Visitante,D,1,2,Internacional,1.5,1.1,64,45.751,Everton Ribeiro,4-1-2-1-2◆,Ramon Abatti Abel,Relatório da Partida,,16,4,158.0,1.0,0,0,4,2.0,2,2,0,0,Flamengo
4,2023-04-30,16:00,Série A,Rodada da semana 3,dom,Em casa,D,2,3,Botafogo (RJ),3.1,1.9,74,53.138,Gabriel Barbosa,3-4-3,Edina Alves Batista,Relatório da Partida,,24,13,157.0,0.0,0,0,6,3.0,3,3,1,1,Flamengo
6,2023-05-07,16:00,Série A,Rodada da semana 4,dom,Visitante,D,1,2,Ath Paranaense,1.5,1.0,60,32.949,Everton Ribeiro,4-4-2,Raphael Claus,Relatório da Partida,,13,3,228.0,0.0,1,1,4,2.0,2,2,0,0,Flamengo
7,2023-05-10,20:00,Série A,Rodada da semana 5,qua,Em casa,V,2,0,Goiás,2.6,0.7,57,44.948,Everton Ribeiro,4-2-3-1,Savio Pereira,Relatório da Partida,,22,4,149.0,0.0,1,1,6,0.0,0,6,0,0,Flamengo
8,2023-05-13,16:00,Série A,Rodada da semana 6,sáb,Visitante,V,3,2,Bahia,2.2,1.4,48,48.502,Gabriel Barbosa,4-1-4-1,Paulo Cesar Zanovelli da Silva,Relatório da Partida,,13,3,180.0,0.0,1,1,6,2.0,2,4,0,0,Flamengo
9,2023-05-21,16:00,Série A,Rodada da semana 7,dom,Em casa,V,1,0,Corinthians,0.6,1.2,64,64.871,Gabriel Barbosa,4-2-2-2,Rafael Rodrigo Klein,Relatório da Partida,,10,3,214.0,1.0,0,0,3,0.0,0,3,0,0,Flamengo
11,2023-05-27,18:30,Série A,Rodada da semana 8,sáb,Em casa,E,1,1,Cruzeiro,2.0,1.2,62,65.27,Gabriel Barbosa,4-3-1-2,Luiz Flávio de Oliveira,Relatório da Partida,,13,2,189.0,0.0,0,1,6,1.0,1,5,0,0,Flamengo
12,2023-06-05,20:00,Série A,Rodada da semana 9,seg,Visitante,V,4,1,Vasco da Gama,1.1,1.5,55,46.423,David Luiz,4-2-2-2,Braulio da Silva Machado,Relatório da Partida,,11,5,194.0,0.0,0,0,5,1.0,1,4,1,1,Flamengo
14,2023-06-11,18:30,Série A,Rodada da semana 10,dom,Em casa,V,3,0,Grêmio,1.9,2.0,52,62.967,Everton Ribeiro,4-2-2-2,Savio Pereira,Relatório da Partida,,14,4,160.0,0.0,0,0,7,0.0,0,7,0,0,Flamengo
15,2023-06-22,21:30,Série A,Rodada da semana 11,qui,Visitante,D,0,4,Bragantino,0.8,3.3,41,10.103,Everton Ribeiro,4-2-3-1,Anderson Daronco,Relatório da Partida,,7,0,164.0,0.0,0,0,13,4.0,4,9,0,0,Flamengo
16,2023-06-25,18:30,Série A,Rodada da semana 12,dom,Visitante,V,3,2,Santos,0.8,1.8,67,,Everton Ribeiro,4-3-3,Wilton Sampaio,Relatório da Partida,,10,4,170.0,1.0,0,0,6,2.0,2,4,0,0,Flamengo
18,2023-07-01,18:30,Série A,Rodada da semana 13,sáb,Em casa,V,2,0,Fortaleza,1.3,1.6,58,64.853,Everton Ribeiro,4-2-2-2,Savio Pereira,Relatório da Partida,,10,4,162.0,0.0,0,0,5,0.0,0,4,1,0,Flamengo
19,2023-07-08,21:00,Série A,Rodada da semana 14,sáb,Visitante,E,1,1,Palmeiras,0.8,1.1,56,,David Luiz,4-3-3,Ramon Abatti Abel,Relatório da Partida,,10,4,169.0,0.0,0,0,4,1.0,1,3,0,0,Flamengo
20,2023-07-16,16:00,Série A,Rodada da semana 15,dom,Visitante,E,0,0,Fluminense,0.4,1.5,46,62.354,Everton Ribeiro,4-2-3-1,Savio Pereira,Relatório da Partida,,8,3,195.0,1.0,0,0,8,0.0,0,8,0,0,Flamengo
21,2023-07-22,16:00,Série A,Rodada da semana 16,sáb,Em casa,E,1,1,América (MG),2.5,1.3,66,,Everton Ribeiro,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,16,7,173.0,1.0,0,0,4,1.0,1,3,0,0,Flamengo
22,2023-07-29,21:00,Série A,Rodada da semana 17,sáb,Visitante,V,2,1,Atlético Mineiro,1.8,0.9,60,,Everton Ribeiro,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,6,5,194.0,1.0,0,0,5,1.0,1,4,0,0,Flamengo
24,2023-08-06,19:00,Série A,Rodada da semana 18,dom,Visitante,D,0,3,Cuiabá,0.8,1.9,62,33.091,David Luiz,4-2-3-1,Anderson Daronco,Relatório da Partida,,10,4,176.0,0.0,0,0,6,3.0,3,3,0,0,Flamengo
26,2023-08-13,18:30,Série A,Rodada da semana 19,dom,Em casa,E,1,1,São Paulo,1.4,0.8,54,,Gabriel Barbosa,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,18,6,212.0,0.0,1,1,1,1.0,1,0,0,0,Flamengo
27,2023-08-20,16:00,Série A,Rodada da semana 20,dom,Visitante,V,3,2,Coritiba,1.9,2.6,62,,Gabriel Barbosa,4-2-2-2,Raphael Claus,Relatório da Partida,,16,3,174.0,0.0,1,1,4,2.0,2,2,1,1,Flamengo
28,2023-08-26,18:30,Série A,Rodada da semana 21,sáb,Em casa,E,0,0,Internacional,0.7,0.3,59,,Gabriel Barbosa,4-2-3-1,Edina Alves Batista,Relatório da Partida,,8,4,121.0,0.0,0,0,1,0.0,0,1,0,0,Flamengo
29,2023-09-02,21:00,Série A,Rodada da semana 22,sáb,Visitante,V,2,1,Botafogo (RJ),0.8,1.1,52,40.769,Bruno Henrique,4-2-3-1,Raphael Claus,Relatório da Partida,,12,4,217.0,0.0,0,0,6,1.0,1,5,0,0,Flamengo
30,2023-09-13,21:30,Série A,Rodada da semana 23,qua,Em casa,D,0,3,Ath Paranaense,0.5,2.3,58,,Gabriel Barbosa,3-4-3,Rafael Rodrigo Klein,Relatório da Partida,,13,4,228.0,1.0,0,0,9,3.0,3,6,1,1,Flamengo
31,2023-09-20,19:00,Série A,Rodada da semana 24,qua,Visitante,E,0,0,Goiás,0.5,0.1,64,,Everton Ribeiro,4-3-3,Raphael Claus,Relatório da Partida,,10,2,185.0,0.0,0,0,1,0.0,0,1,0,0,Flamengo
32,2023-09-30,16:00,Série A,Rodada da semana 25,sáb,Em casa,V,1,0,Bahia,1.4,0.5,65,,Everton Ribeiro,4-2-3-1,Savio Pereira,Relatório da Partida,,14,4,200.0,2.0,1,1,4,0.0,0,4,0,0,Flamengo
33,2023-10-07,21:00,Série A,Rodada da semana 26,sáb,Visitante,E,1,1,Corinthians,0.9,1.0,57,,Everton Ribeiro,4-2-3-1,Anderson Daronco,Relatório da Partida,,20,7,247.0,1.0,0,0,5,1.0,1,4,1,1,Flamengo
34,2023-10-19,19:00,Série A,Rodada da semana 27,qui,Visitante,V,2,0,Cruzeiro,1.8,0.3,57,37.073,Everton Ribeiro,4-3-3,Rafael Rodrigo Klein,Relatório da Partida,,8,1,171.0,0.0,1,1,5,0.0,0,5,0,0,Flamengo
35,2023-10-22,16:00,Série A,Rodada da semana 28,dom,Em casa,V,1,0,Vasco da Gama,0.5,1.1,47,69.473,Bruno Henrique,4-2-3-1,Raphael Claus,Relatório da Partida,,10,5,206.0,2.0,0,0,7,0.0,0,7,0,0,Flamengo
36,2023-10-25,21:30,Série A,Rodada da semana 29,qua,Visitante,D,2,3,Grêmio,1.1,1.0,62,,Gerson,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,8,4,144.0,1.0,0,0,4,3.0,3,1,0,0,Flamengo
37,2023-11-01,20:00,Série A,Rodada da semana 31,qua,Em casa,D,1,2,Santos,1.2,0.6,60,,Bruno Henrique,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,8,4,171.0,0.0,0,0,5,2.0,2,3,0,0,Flamengo
38,2023-11-05,16:00,Série A,Rodada da semana 32,dom,Visitante,V,2,0,Fortaleza,0.7,0.8,48,49.324,Giorgian De Arrascaeta,4-2-3-1,Anderson Daronco,Relatório da Partida,,7,5,118.0,0.0,0,0,4,0.0,0,4,0,0,Flamengo
39,2023-11-08,21:30,Série A,Rodada da semana 33,qua,Em casa,V,3,0,Palmeiras,1.4,1.0,51,64.59,Gerson,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,12,6,185.0,0.0,0,0,1,0.0,0,1,0,0,Flamengo
40,2023-11-11,18:30,Série A,Rodada da semana 34,sáb,Em casa,E,1,1,Fluminense,0.9,1.4,42,59.97,Gerson,4-2-3-1,Wilton Pereira Sampaio,Relatório da Partida,,11,7,180.0,0.0,0,0,4,1.0,1,3,0,0,Flamengo
41,2023-11-23,21:30,Série A,Rodada da semana 30,qui,Em casa,V,1,0,Bragantino,1.1,1.3,53,,Gerson,4-2-3-1,Braulio Machado,Relatório da Partida,,16,4,149.0,0.0,0,0,3,0.0,0,3,0,0,Flamengo
42,2023-11-26,18:30,Série A,Rodada da semana 35,dom,Visitante,V,3,0,América (MG),3.0,0.5,57,,Bruno Henrique,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,24,8,171.0,1.0,0,0,1,0.0,0,1,0,0,Flamengo
43,2023-11-29,19:30,Série A,Rodada da semana 36,qua,Em casa,D,0,3,Atlético Mineiro,1.0,1.2,59,65.305,Bruno Henrique,4-2-3-1,Ramon Abatti,Relatório da Partida,,19,4,197.0,1.0,0,0,6,3.0,3,3,0,0,Flamengo
44,2023-12-03,16:00,Série A,Rodada da semana 37,dom,Em casa,V,2,1,Cuiabá,1.5,0.8,68,,Filipe Luís,4-2-3-1,Rodrigo José Pereira de Lima,Relatório da Partida,,19,6,178.0,0.0,0,0,1,1.0,1,0,1,1,Flamengo
45,2023-12-06,21:30,Série A,Rodada da semana 38,qua,Visitante,D,0,1,São Paulo,0.4,0.5,57,36.618,Gerson,4-2-3-1,Caio Max Augusto Vieira,Relatório da Partida,,10,2,188.0,0.0,0,0,3,1.0,1,2,0,0,Flamengo
1,2023-04-15,18:30,Série A,Rodada da semana 1,sáb,Em casa,V,2,1,São Paulo,0.9,2.0,33,11.708,Víctor Cuesta,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,12,3,183.0,0.0,0,0,8,1.0,1,7,0,0,Botafogo RJ
3,2023-04-24,20:00,Série A,Rodada da semana 2,seg,Visitante,V,2,1,Bahia,0.2,0.9,42,27.822,Víctor Cuesta,4-2-3-1,Raphael Claus,Relatório da Partida,,5,3,219.0,0.0,0,0,5,1.0,1,4,0,0,Botafogo RJ
4,2023-04-30,16:00,Série A,Rodada da semana 3,dom,Visitante,V,3,2,Flamengo,1.9,3.1,26,53.138,Fernando Marçal,4-2-3-1,Edina Alves Batista,Relatório da Partida,,11,5,168.0,0.0,1,1,13,2.0,2,11,0,0,Botafogo RJ
6,2023-05-07,18:30,Série A,Rodada da semana 4,dom,Em casa,V,2,0,Atlético Mineiro,2.0,0.5,39,18.218,Víctor Cuesta,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,22,7,177.0,0.0,0,0,1,0.0,0,1,0,0,Botafogo RJ
7,2023-05-11,19:30,Série A,Rodada da semana 5,qui,Em casa,V,3,0,Corinthians,2.6,0.6,53,22.388,Fernando Marçal,4-2-3-1,Anderson Daronco,Relatório da Partida,,15,5,247.0,1.0,1,1,4,0.0,0,4,0,0,Botafogo RJ
8,2023-05-14,18:30,Série A,Rodada da semana 6,dom,Visitante,D,1,2,Goiás,1.5,1.9,53,6.674,Fernando Marçal,4-2-3-1,Rafael Rodrigo Klein,Relatório da Partida,,16,1,202.0,1.0,1,1,4,2.0,2,2,0,0,Botafogo RJ
9,2023-05-20,18:30,Série A,Rodada da semana 7,sáb,Em casa,V,1,0,Fluminense,1.4,0.9,35,24.732,Fernando Marçal,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,21,7,177.0,0.0,0,0,0,0.0,0,0,0,0,Botafogo RJ
11,2023-05-28,19:00,Série A,Rodada da semana 8,dom,Em casa,V,2,0,América (MG),2.1,0.4,55,23.708,Fernando Marçal,4-2-3-1,Raphael Claus,Relatório da Partida,,18,6,175.0,1.0,0,0,1,0.0,0,1,0,0,Botafogo RJ
12,2023-06-03,18:30,Série A,Rodada da semana 9,sáb,Visitante,D,0,1,Ath Paranaense,0.6,0.9,51,18.684,Víctor Cuesta,4-2-3-1,Vinicius Gonçalves Dias Araujo,Relatório da Partida,,13,4,204.0,0.0,0,0,7,1.0,1,6,0,0,Botafogo RJ
14,2023-06-10,21:00,Série A,Rodada da semana 10,sáb,Em casa,V,2,0,Fortaleza,3.7,0.4,54,19.297,Víctor Cuesta,4-2-3-1,Wilton Sampaio,Relatório da Partida,,20,9,170.0,2.0,0,1,3,0.0,0,3,0,0,Botafogo RJ
15,2023-06-22,19:00,Série A,Rodada da semana 11,qui,Visitante,V,1,0,Cuiabá,1.2,1.1,48,13.981,Víctor Cuesta,4-3-3,Flavio Rodrigues de Souza,Relatório da Partida,,4,2,285.0,0.0,1,1,9,0.0,0,9,0,0,Botafogo RJ
16,2023-06-25,16:00,Série A,Rodada da semana 12,dom,Visitante,V,1,0,Palmeiras,0.8,2.6,36,38.877,Víctor Cuesta,4-2-3-1,Anderson Daronco,Relatório da Partida,,6,2,181.0,0.0,0,0,4,0.0,0,4,1,0,Botafogo RJ
18,2023-07-02,16:00,Série A,Rodada da semana 13,dom,Em casa,V,2,0,Vasco da Gama,1.7,0.9,60,38.798,Víctor Cuesta,4-2-3-1,Raphael Claus,Relatório da Partida,,16,6,151.0,2.0,0,0,4,0.0,0,4,0,0,Botafogo RJ
19,2023-07-09,18:30,Série A,Rodada da semana 14,dom,Visitante,V,2,0,Grêmio,1.1,1.6,48,,Víctor Cuesta,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,15,6,219.0,0.0,0,0,4,0.0,0,4,0,0,Botafogo RJ
21,2023-07-15,21:00,Série A,Rodada da semana 15,sáb,Em casa,V,2,0,Bragantino,1.0,1.4,38,37.036,Fernando Marçal,4-2-3-1,Anderson Daronco,Relatório da Partida,,10,3,181.0,1.0,0,0,8,0.0,0,8,0,0,Botafogo RJ
23,2023-07-23,16:00,Série A,Rodada da semana 16,dom,Visitante,E,2,2,Santos,1.0,0.9,63,,Fernando Marçal,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,18,6,177.0,0.0,0,0,2,2.0,2,0,0,0,Botafogo RJ
24,2023-07-30,16:00,Série A,Rodada da semana 17,dom,Em casa,V,4,1,Coritiba,0.9,1.2,57,,Fernando Marçal,4-2-3-1,João Vitor Gobi,Relatório da Partida,,14,7,178.0,0.0,0,0,5,1.0,1,4,0,0,Botafogo RJ
26,2023-08-06,18:30,Série A,Rodada da semana 18,dom,Visitante,E,0,0,Cruzeiro,0.1,0.9,33,44.759,Fernando Marçal,4-2-3-1,Raphael Claus,Relatório da Partida,,2,1,234.0,0.0,0,0,4,0.0,0,4,0,0,Botafogo RJ
28,2023-08-12,21:00,Série A,Rodada da semana 19,sáb,Em casa,V,3,1,Internacional,2.3,1.7,50,39.598,Víctor Cuesta,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,18,10,169.0,1.0,0,0,4,1.0,1,3,0,0,Botafogo RJ
29,2023-08-19,16:00,Série A,Rodada da semana 20,sáb,Visitante,E,0,0,São Paulo,0.9,0.7,36,,Fernando Marçal,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,12,0,213.0,1.0,0,0,4,0.0,0,4,0,0,Botafogo RJ
31,2023-08-27,16:00,Série A,Rodada da semana 21,dom,Em casa,V,3,0,Bahia,2.3,1.2,44,,Víctor Cuesta,4-2-3-1,Flavio Rodrigues de Souza,Relatório da Partida,,10,5,206.0,0.0,0,0,6,0.0,0,6,0,0,Botafogo RJ
33,2023-09-02,21:00,Série A,Rodada da semana 22,sáb,Em casa,D,1,2,Flamengo,1.1,0.8,48,40.769,Fernando Marçal,4-2-3-1,Raphael Claus,Relatório da Partida,,17,6,211.0,1.0,0,0,4,2.0,2,3,0,0,Botafogo RJ
34,2023-09-16,21:00,Série A,Rodada da semana 23,sáb,Visitante,D,0,1,Atlético Mineiro,0.1,1.3,58,,Fernando Marçal,4-2-3-1,Ramon Abatti Abel,Relatório da Partida,,7,0,258.0,0.0,0,0,6,1.0,1,5,0,0,Botafogo RJ
35,2023-09-22,20:00,Série A,Rodada da semana 24,sex,Visitante,D,0,1,Corinthians,0.5,1.1,34,,Fernando Marçal,4-2-3-1,Paulo Zanovelli,Relatório da Partida,,9,2,220.0,1.0,0,0,5,1.0,1,4,0,0,Botafogo RJ
36,2023-10-02,20:00,Série A,Rodada da semana 25,seg,Em casa,E,1,1,Goiás,0.9,0.5,60,34.294,Víctor Cuesta,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,18,6,201.0,1.0,0,0,3,1.0,1,2,0,0,Botafogo RJ
37,2023-10-08,16:00,Série A,Rodada da semana 26,dom,Visitante,V,2,0,Fluminense,1.9,1.1,34,,Fernando Marçal,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,,12,5,155.0,0.0,0,0,5,0.0,0,5,0,0,Botafogo RJ
38,2023-10-18,20:00,Série A,Rodada da semana 27,qua,Visitante,V,2,1,América (MG),0.5,2.9,53,6.23,Víctor Cuesta,4-2-3-1,Anderson Daronco,Relatório da Partida,,6,2,182.0,0.0,0,0,5,1.0,1,4,0,0,Botafogo RJ
39,2023-10-22,15:00,Série A,Rodada da semana 28,dom,Em casa,E,1,1,Ath Paranaense,0.9,1.1,61,,Fernando Marçal,4-2-3-1,Matheus Delgado Candançan,Relatório da Partida,,10,5,156.0,0.0,0,0,2,1.0,1,1,0,0,Botafogo RJ
40,2023-10-29,20:00,Série A,Rodada da semana 30,dom,Em casa,D,0,1,Cuiabá,2.0,1.1,67,30.659,Fernando Marçal,4-2-3-1,Wilton Pereira Sampaio,Relatório da Partida,,32,9,202.0,0.0,0,0,1,1.0,1,0,0,0,Botafogo RJ
41,2023-11-01,21:30,Série A,Rodada da semana 31,qua,Em casa,D,3,4,Palmeiras,3.5,1.7,40,34.913,Fernando Marçal,4-2-3-1,Braulio da Silva Machado,Relatório da Partida,,17,7,200.0,1.0,0,1,6,4.0,4,2,0,0,Botafogo RJ
42,2023-11-06,19:00,Série A,Rodada da semana 32,seg,Visitante,D,0,1,Vasco da Gama,0.5,0.5,58,,Fernando Marçal,4-2-3-1,Leandro Pedro Vuaden,Relatório da Partida,,12,2,208.0,0.0,0,0,3,1.0,1,2,0,0,Botafogo RJ
43,2023-11-09,20:00,Série A,Rodada da semana 33,qui,Em casa,D,3,4,Grêmio,1.4,2.0,51,17.708,Víctor Cuesta,4-2-3-1,Ramon Abatti,Relatório da Partida,,12,5,162.0,1.0,0,0,6,4.0,4,2,0,0,Botafogo RJ
44,2023-11-12,16:00,Série A,Rodada da semana 34,dom,Visitante,E,2,2,Bragantino,0.8,2.9,35,,Fernando Marçal,4-2-3-1,Anderson Daronco,Relatório da Partida,,11,4,189.0,0.0,0,0,7,2.0,2,5,0,0,Botafogo RJ
45,2023-11-23,19:00,Série A,Rodada da semana 29,qui,Visitante,E,2,2,Fortaleza,0.8,2.0,69,,Fernando Marçal,4-2-3-1,Ramon Abatti,Relatório da Partida,,9,1,150.0,1.0,0,0,4,2.0,2,2,0,0,Botafogo RJ
46,2023-11-26,16:00,Série A,Rodada da semana 35,dom,Em casa,E,1,1,Santos,1.6,0.3,46,26.548,Víctor Cuesta,3-4-3,Wilton Pereira Sampaio,Relatório da Partida,,18,4,198.0,3.0,0,0,5,1.0,1,4,0,0,Botafogo RJ
